"player_short_name","season","avg_time_to_throw","total_pass_touchdowns"
"A.Brown",2022,2.68621428571429,0
"A.Dalton",2022,2.62707166803538,18
"A.Rodgers",2022,2.70107090994494,26
"B.Mayfield",2022,2.8415246332729,10
"B.Perkins",2022,3.45147826086957,1
"B.Purdy",2022,2.91750487218499,13
"B.Rypien",2022,2.70803177257525,1
"B.Zappe",2022,2.88646527883881,2
"C.McCoy",2022,2.3558407728632,1
"C.Rush",2022,2.54041892200958,5
"C.Streveler",2022,2.90933333333333,0
"C.Wentz",2022,2.55020878490779,11
"D.Blough",2022,2.62611527777778,1
"D.Carr",2022,2.94415710657489,24
"D.Jones",2022,2.87599720823007,15
"D.Mills",2022,2.77373761879492,17
"D.Prescott",2022,2.72219766036384,23
"D.Ridder",2022,2.85845052447552,2
"D.Watson",2022,3.28780339271584,7
"D.Webb",2022,2.98265,1
"G.Minshew",2022,2.89409334935897,2
"G.Smith",2022,2.81728528783922,30
"J.Allen",2022,2.91591113939745,35
"J.Brissett",2022,2.89665719159987,12
"J.Burrow",2022,2.54360480491403,35
"J.Dobbs",2022,2.92012820512821,1
"J.Fields",2022,3.13932899282046,17
"J.Flacco",2022,2.73858279077387,5
"J.Garoppolo",2022,2.63861612359016,16
"J.Goff",2022,2.74590475349934,29
"J.Herbert",2022,2.85573751173377,25
"J.Hurts",2022,2.75902691188018,22
"J.Stidham",2022,3.06594281045752,3
"J.Winston",2022,2.75863206300813,2
"J.Wolford",2022,3.14333760683761,1
"K.Allen",2022,2.67330769230769,1
"K.Cousins",2022,2.84120454124526,29
"K.Murray",2022,2.67157781235595,14
"K.Pickett",2022,2.99728055991945,7
"L.Jackson",2022,3.0151020514305,17
"M.Jones",2022,2.68836165399789,14
"M.Mariota",2022,2.97216957791458,15
"M.Ryan",2022,2.68519021339979,14
"M.Stafford",2022,2.71923067587342,10
"M.Trubisky",2022,2.73008049580815,4
"M.White",2022,2.7909995927566,3
"M.Willis",2022,3.31523233695652,0
"N.Foles",2022,2.6928275862069,0
"N.Peterman",2022,2.70231578947368,1
"P.Mahomes",2022,2.8918033372832,41
"P.Walker",2022,2.32552241161616,2
"R.Tannehill",2022,2.75172331165433,13
"R.Wilson",2022,2.97906332392235,16
"S.Darnold",2022,3.26411172663981,7
"S.Ehlinger",2022,3.00830714642679,2
"S.Howell",2022,2.67647368421053,1
"S.Thompson",2022,3.16721531443467,1
"T.Brady",2022,2.45070449912186,25
"T.Bridgewater",2022,3.11520536635707,2
"T.Heinicke",2022,2.97399478502079,12
"T.Huntley",2022,2.86563170080045,2
"T.Lance",2022,2.94214285714286,0
"T.Lawrence",2022,2.5597237336679,25
"T.McSorley",2022,2.67865681818182,0
"T.Siemian",2022,2.65568,1
"T.Tagovailoa",2022,2.60477773904458,25
"Z.Wilson",2022,3.08792422159019,6
