"qb","seasons_played","dropbacks","effectiveness","avg_decision_rate","avg_epa","avg_turnover_rate","avg_time_to_throw","avg_touchdowns","decision_efficiency_index"
"B.Purdy",2,1062,535,0.502396623265131,0.218365331022624,0.0284912004578623,2.90605027393207,25.5,61.2721482611008
"P.Mahomes",4,3088,1530,0.49474783853423,0.156117953607238,0.0245452469895935,2.86883093845496,32.75,60.961232608436
"T.Tagovailoa",4,1881,918,0.48924884542244,0.154874501910482,0.0251492338568168,2.47829049756587,22.25,56.8396435641138
"J.Goff",4,2500,1214,0.48382888708694,0.119374488468695,0.0237019778535892,2.75978536935014,28.75,56.7767457153901
"J.Allen",4,2646,1267,0.478684718446435,0.158634933193374,0.0263832377976243,2.88961004141655,32,58.8635127518355
"J.Burrow",4,2591,1240,0.476553028464844,0.0980515484440823,0.0245415142366961,2.61311560261712,31.75,56.3504219279499
"T.Brady",2,1666,792,0.475291988055296,0.101534070223919,0.0210055572850011,2.46057684387433,34,58.1339150362267
"D.Prescott",4,2166,1036,0.470628914433261,0.0864650924439143,0.0284151270933134,2.74280433987264,26.75,52.3382683217795
"M.Stafford",4,2325,1101,0.470309119460734,0.0733805624521874,0.0263328175572867,2.73946471780435,23.75,50.7710879994811
"G.Smith",3,1815,850,0.468054007634733,0.025709010036219,0.026108521806269,2.82863026039102,23.6666666666667,47.9839791402285
"L.Jackson",4,1877,884,0.467357030806276,0.10909000085099,0.0270247240010234,3.02862177615477,24.5,51.879250970714
"J.Love",2,1142,523,0.457538500338897,0.13003643836555,0.0280496839583235,2.8322733693159,28.5,53.7836726197869
"K.Murray",3,1538,710,0.456650717703349,0.0355016223522037,0.0228176501860712,2.75263414996662,19.6666666666667,46.3789037267678
"K.Cousins",4,2120,968,0.454983676985818,0.0611383767299992,0.0288046046039247,2.7951183826538,24.5,48.4443590791855
"J.Herbert",4,2558,1149,0.448109130424422,0.0664968882603141,0.0218601392797744,2.86005696305767,26.5,49.7366226373764
"A.Rodgers",3,1522,667,0.448031343180085,0.0737160203412555,0.0204445195663731,2.67672343165308,30.3333333333333,52.2021438701425
"T.Lawrence",4,2247,1008,0.443510600730275,-0.0135147493541411,0.0351150161035635,2.65414196145541,17.25,39.9997862668751
"J.Hurts",4,2211,974,0.440387727085913,0.0751272263767311,0.0249976148395339,2.9992792495763,19.75,45.9469333023452
"M.Ryan",2,1103,486,0.439600997010295,-0.0597302383089612,0.0355632378969977,2.74074357730721,17,36.9576149464174
"D.Carr",3,1835,802,0.434902252460574,0.0344946705280531,0.0268426297195112,2.82573408417603,24,45.1370961461813
"S.Darnold",2,1085,474,0.430114072187076,-0.0880996097207882,0.0328740420680774,2.9769051712171,22,36.5215100800224
"B.Mayfield",4,2159,949,0.429196200643022,0.0198359335944499,0.0315149247921363,2.76264200539822,24,43.2588940144078
"C.Stroud",2,1243,532,0.429069948590123,0.0410350623475344,0.0207171418185595,2.99670575964988,21.5,44.4577651843053
"M.Jones",3,1436,612,0.422190532278007,-0.0719260063673389,0.0368174114488745,2.61968674366639,15.3333333333333,33.9941010381031
"D.Jones",3,1338,562,0.415761208645685,-0.0426029051575327,0.0239383343926756,2.78528737331887,11,34.6846507011528
"R.Wilson",4,1865,739,0.398737913576021,-0.0396179945425242,0.0254313542828117,2.91141800631819,20.75,36.5553524754178
"J.Fields",3,1097,408,0.37256997766299,-0.182072015816035,0.04159977197636,3.08862360820924,13.3333333333333,21.0695172959581
"B.Young",2,1003,360,0.361939502800949,-0.176870707092625,0.0277162635433839,2.83497630999622,13,22.7230227739636
