qb,seasons_played,dropbacks,effectiveness,avg_decision_rate,avg_epa,avg_turnover_rate,avg_time_to_throw,avg_touchdowns
B.Purdy,2,531,267.5,0.502396623,0.218365331,0.0284912,2.906050274,25.5
P.Mahomes,4,772,382.5,0.494747839,0.156117954,0.024545247,2.868830938,32.75
T.Tagovailoa,4,470.25,229.5,0.489248845,0.154874502,0.025149234,2.478290498,22.25
J.Garoppolo,2,436,210,0.484112003,0.164766743,0.031500708,2.663495993,18
J.Goff,4,625,303.5,0.483828887,0.119374488,0.023701978,2.759785369,28.75
J.Allen,4,661.5,316.75,0.478684718,0.158634933,0.026383238,2.889610041,32
J.Burrow,4,647.75,310,0.476553028,0.098051548,0.024541514,2.613115603,31.75
T.Brady,2,833,396,0.475291988,0.10153407,0.021005557,2.460576844,34
A.Dalton,1,404,192,0.475247525,0.0180227,0.032178218,2.627071668,18
D.Prescott,4,541.5,259,0.470628914,0.086465092,0.028415127,2.74280434,26.75
M.Stafford,4,581.25,275.25,0.470309119,0.073380562,0.026332818,2.739464718,23.75
G.Smith,3,605,283.3333333,0.468054008,0.02570901,0.026108522,2.82863026,23.66666667
L.Jackson,4,469.25,221,0.467357031,0.109090001,0.027024724,3.028621776,24.5
J.Love,2,571,261.5,0.4575385,0.130036438,0.028049684,2.832273369,28.5
K.Murray,3,512.6666667,236.6666667,0.456650718,0.035501622,0.02281765,2.75263415,19.66666667
K.Cousins,4,530,242,0.454983677,0.061138377,0.028804605,2.795118383,24.5
R.Tannehill,2,480.5,218.5,0.452581135,0.028501207,0.030244494,2.72732405,17
J.Daniels,1,648,291,0.449074074,0.115589898,0.021604938,2.679753156,25
J.Herbert,4,639.5,287.25,0.44810913,0.066496888,0.021860139,2.860056963,26.5
A.Rodgers,3,507.3333333,222.3333333,0.448031343,0.07371602,0.02044452,2.676723432,30.33333333
T.Bridgewater,1,460,206,0.447826087,0.113098415,0.017391304,2.877048512,18
D.Ridder,1,420,187,0.445238095,-0.091956739,0.04047619,2.734300417,12
T.Lawrence,4,561.75,252,0.443510601,-0.013514749,0.035115016,2.654141961,17.25
M.Mariota,1,326,144,0.441717791,-0.020603369,0.036809816,2.972169578,15
D.Maye,1,374,165,0.441176471,-0.083857388,0.040106952,2.743767843,15
J.Hurts,4,552.75,243.5,0.440387727,0.075127226,0.024997615,2.99927925,19.75
J.Brissett,1,391,172,0.439897698,0.035365372,0.028132992,2.896657192,12
M.Ryan,2,551.5,243,0.439600997,-0.059730238,0.035563238,2.740743577,17
D.Carr,3,611.6666667,267.3333333,0.434902252,0.034494671,0.02684263,2.825734084,24
S.Darnold,2,542.5,237,0.430114072,-0.08809961,0.032874042,2.976905171,22
B.Mayfield,4,539.75,237.25,0.429196201,0.019835934,0.031514925,2.762642005,24
C.Stroud,2,621.5,266,0.429069949,0.041035062,0.020717142,2.99670576,21.5
G.Minshew,2,430,181,0.423600071,-0.07483652,0.032802252,2.713608158,12
T.Heinicke,1,532,225,0.422932331,-0.079180301,0.037593985,3.000573815,20
M.Jones,3,478.6666667,204,0.422190532,-0.071926006,0.036817411,2.619686744,15.33333333
D.Jones,3,446,187.3333333,0.415761209,-0.042602905,0.023938334,2.785287373,11
A.O'Connell,1,367,151,0.411444142,-0.060319163,0.029972752,2.795869555,12
B.Nix,1,615,252,0.409756098,0.016559179,0.02601626,2.919010731,29
C.Rush,1,321,129,0.401869159,-0.101521299,0.028037383,2.544211804,12
C.Wentz,2,430.5,176.5,0.401663853,-0.058207029,0.027050795,2.69003466,19
K.Pickett,2,382,154,0.401474786,-0.077479396,0.019195019,2.904627004,6.5
J.Winston,1,326,130,0.398773006,-0.092404157,0.04601227,2.806363409,13
R.Wilson,4,466.25,184.75,0.398737914,-0.039617995,0.025431354,2.911418006,20.75
S.Howell,1,679,270,0.397643594,-0.175949914,0.036818851,2.844025611,21
D.Mills,2,467.5,182.5,0.392478677,-0.13114721,0.03196424,2.717059724,16.5
J.Dobbs,1,450,175,0.388888889,-0.181312571,0.033333333,2.947683339,13
B.Roethlisberger,1,692,269,0.388728324,-0.083944161,0.024566474,2.375581568,22
C.Williams,1,636,241,0.378930818,-0.088998527,0.017295597,2.925849449,20
J.Fields,3,365.6666667,136,0.372569978,-0.182072016,0.041599772,3.088623608,13.33333333
B.Young,2,501.5,180,0.361939503,-0.176870707,0.027716264,2.83497631,13
Z.Wilson,2,421,151.5,0.359964894,-0.240443748,0.02967936,2.945555875,8.5
W.Levis,1,344,119,0.345930233,-0.190462012,0.043604651,2.669188779,13
