"qb","seasons_played","dropbacks","effectiveness","avg_decision_rate","avg_epa","avg_turnover_rate","avg_time_to_throw","avg_touchdowns","decision_efficiency_index"
"P.Mahomes",4,3088,1530,0.49474783853423,0.156117953607238,0.0245452469895935,2.86883093845496,32.75,60.961232608436
"T.Tagovailoa",4,1881,918,0.48924884542244,0.154874501910482,0.0251492338568168,2.47829049756587,22.25,56.8396435641138
"J.Goff",4,2500,1214,0.48382888708694,0.119374488468695,0.0237019778535892,2.75978536935014,28.75,56.7767457153901
"J.Allen",4,2646,1267,0.478684718446435,0.158634933193374,0.0263832377976243,2.88961004141655,32,58.8635127518355
"J.Burrow",4,2591,1240,0.476553028464844,0.0980515484440823,0.0245415142366961,2.61311560261712,31.75,56.3504219279499
"D.Prescott",4,2166,1036,0.470628914433261,0.0864650924439143,0.0284151270933134,2.74280433987264,26.75,52.3382683217795
"M.Stafford",4,2325,1101,0.470309119460734,0.0733805624521874,0.0263328175572867,2.73946471780435,23.75,50.7710879994811
"L.Jackson",4,1877,884,0.467357030806276,0.10909000085099,0.0270247240010234,3.02862177615477,24.5,51.879250970714
"K.Cousins",4,2120,968,0.454983676985818,0.0611383767299992,0.0288046046039247,2.7951183826538,24.5,48.4443590791855
"J.Herbert",4,2558,1149,0.448109130424422,0.0664968882603141,0.0218601392797744,2.86005696305767,26.5,49.7366226373764
"T.Lawrence",4,2247,1008,0.443510600730275,-0.0135147493541411,0.0351150161035635,2.65414196145541,17.25,39.9997862668751
"J.Hurts",4,2211,974,0.440387727085913,0.0751272263767311,0.0249976148395339,2.9992792495763,19.75,45.9469333023452
"B.Mayfield",4,2159,949,0.429196200643022,0.0198359335944499,0.0315149247921363,2.76264200539822,24,43.2588940144078
"R.Wilson",4,1865,739,0.398737913576021,-0.0396179945425242,0.0254313542828117,2.91141800631819,20.75,36.5553524754178
